Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Included / International,Price / International,Compare At Price / International,Included / United States,Price / United States,Compare At Price / United States,Status
arashi-yamaha-r3-high-performance-black-gold-front-disc-titanium-bolts-kit-premium-upgrade-for-2015-2021-models,Arashi Yamaha R3 High-Performance Black/Gold Front Disc & Titanium Bolts Kit - Premium Upgrade for 2015-2021 Models,"<p>Introducing the Arashi Yamaha R3 Black Front Disc - a premium performance upgrade for your motorcycle, compatible with various models from 2014-2022. Enhance your braking experience with this high-quality, durable disc rotor and titanium mounting bolts package.</p>
<p>Key Features:</p>
<ul>
<li>Constructed from 420 stainless steel for exceptional durability</li>
<li>CNC 6061-T6 Aluminum alloy center hub for reduced weight</li>
<li>Advanced design ensures excellent heat dissipation during heavy braking</li>
<li>Minimizes brake fade, warping, and extends rotor life</li>
<li>Slotted rotor for quick water and dirt dispersion</li>
<li>Titanium Tapered Torx mounting bolts for incredible strength and corrosion resistance</li>
<li>Precision machined with CNC rolled threads for greater fatigue strength</li>
<li>Polished mirror-smooth finish for a sleek appearance</li>
</ul>
<p>Package Includes:</p>
<ul>
<li>1 x Front Brake Disc Rotor</li>
<li>5 x Mounting Bolts Pack</li>
<li>Installation instructions not included</li>
</ul>
<p>Extensive Fitment List:</p>
<ul>
<li>YZF R25 (2014-2021)</li>
<li>MT03 ABS (2016-2021)</li>
<li>YZF R3 (2015-2021)</li>
<li>YZF R3 ABS (2017-2021)</li>
<li>FZ-07 (2015-2016)</li>
<li>MT-07 (2014-2022)</li>
<li>MT-07 ABS (2014-2022)</li>
<li>MT-07 MOTO CAGE ABS (2014-2017)</li>
<li>MT-07 TRACER ABS (2016-2020)</li>
<li>XSR 700 ABS (2016-2019)</li>
<li>XTZ 700 TENERE (2019-2021)</li>
</ul>
<p>Upgrade your motorcycle's braking performance today with the Arashi Yamaha R3 Black Front Disc and experience the difference.</p>",Arashi Motorcycle,,Brake Rotors,"Brake Rotors, Front Brake Rotors",TRUE,Color,Gold,,,,,,3000,shopify,1,continue,manual,166,190,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0754/3206/7374/products/IMG_0103.jpg?v=1682213932,1,,FALSE,,,,,,,,,,,,,,,kg,,90,TRUE,TRUE,,,TRUE,,,active
arashi-yamaha-r3-high-performance-black-gold-front-disc-titanium-bolts-kit-premium-upgrade-for-2015-2021-models,,,,,,,,,Black,,,,,,3000,shopify,0,continue,manual,166,190,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0754/3206/7374/products/IMG_0104.jpg?v=1682213932,2,,,,,,,,,,,,,,,,,kg,,90,,,,,,,,
arashi-yamaha-r3-high-performance-black-gold-front-disc-titanium-bolts-kit-premium-upgrade-for-2015-2021-models,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0754/3206/7374/products/IMG_0105.jpg?v=1682213932,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
arashi-yamaha-r3-high-performance-black-gold-front-disc-titanium-bolts-kit-premium-upgrade-for-2015-2021-models,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0754/3206/7374/products/IMG_0106.jpg?v=1682213932,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
arashi-yamaha-r3-high-performance-black-gold-front-disc-titanium-bolts-kit-premium-upgrade-for-2015-2021-models,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0754/3206/7374/products/IMG_0107.jpg?v=1682213933,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
arashi-yamaha-r3-high-performance-black-gold-front-disc-titanium-bolts-kit-premium-upgrade-for-2015-2021-models,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0754/3206/7374/products/IMG_0108.jpg?v=1682213933,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
arashi-yamaha-r3-high-performance-black-gold-front-disc-titanium-bolts-kit-premium-upgrade-for-2015-2021-models,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0754/3206/7374/products/IMG_0109.jpg?v=1682213933,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
arashi-yamaha-r3-high-performance-black-gold-front-disc-titanium-bolts-kit-premium-upgrade-for-2015-2021-models,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0754/3206/7374/products/IMG_0097.jpg?v=1682213933,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
arashi-yamaha-r3-high-performance-black-gold-front-disc-titanium-bolts-kit-premium-upgrade-for-2015-2021-models,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0754/3206/7374/products/IMG_0098.jpg?v=1682213933,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
arashi-yamaha-r3-high-performance-black-gold-front-disc-titanium-bolts-kit-premium-upgrade-for-2015-2021-models,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0754/3206/7374/products/IMG_0099.jpg?v=1682213934,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
arashi-yamaha-r3-high-performance-black-gold-front-disc-titanium-bolts-kit-premium-upgrade-for-2015-2021-models,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0754/3206/7374/products/IMG_0100.jpg?v=1682213934,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
arashi-yamaha-r3-high-performance-black-gold-front-disc-titanium-bolts-kit-premium-upgrade-for-2015-2021-models,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0754/3206/7374/products/IMG_0101.jpg?v=1682213934,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
